"","id","t","V","L","A","Y"
"1",1,0,1,0.104873632732413,0,0
"2",1,1,0,0.104873632732413,0,0
"3",1,2,0,0.104873632732413,0,0
"4",1,3,1,0.820427674540913,0,0
"5",1,4,1,-0.57887360261052,0,0
"6",1,5,0,-0.57887360261052,0,0
"7",1,6,0,-0.57887360261052,0,0
"8",1,7,0,-0.57887360261052,0,0
"9",1,8,0,-0.57887360261052,0,0
"10",1,9,0,-0.57887360261052,0,0
"11",1,10,0,-0.57887360261052,0,0
"12",1,11,0,-0.57887360261052,0,0
"13",1,12,0,-0.57887360261052,0,0
"14",1,13,0,-0.57887360261052,0,0
"15",1,14,0,-0.57887360261052,0,0
"16",1,15,0,-0.57887360261052,0,0
"17",1,16,0,-0.57887360261052,1,0
"18",1,17,0,-0.57887360261052,1,0
"19",1,18,1,0.479333964452285,1,0
"20",1,19,0,0.479333964452285,1,0
"21",1,20,0,0.479333964452285,1,0
"22",1,21,0,0.479333964452285,1,0
"23",1,22,0,0.479333964452285,1,0
"24",1,23,1,1.29305795971127,1,0
"25",1,24,0,1.29305795971127,1,0
"26",1,25,0,1.29305795971127,1,0
"27",1,26,0,1.29305795971127,1,0
"28",1,27,0,1.29305795971127,1,0
"29",1,28,1,-0.564795332560554,1,0
"30",1,29,1,0.177339193949451,1,0
"31",1,30,1,0.978056053304089,1,0
"32",1,31,0,0.978056053304089,1,0
"33",1,32,0,0.978056053304089,1,0
"34",1,33,0,0.978056053304089,1,0
"35",1,34,0,0.978056053304089,1,0
"36",1,35,0,0.978056053304089,1,0
"37",1,36,0,0.978056053304089,1,0
"38",1,37,0,0.978056053304089,1,0
"39",1,38,0,0.978056053304089,1,0
"40",1,39,0,0.978056053304089,1,0
"41",1,40,1,1.52802816160755,1,0
"42",1,41,0,1.52802816160755,1,0
"43",1,42,0,1.52802816160755,1,0
"44",1,43,0,1.52802816160755,1,0
"45",1,44,0,1.52802816160755,1,0
"46",1,45,1,0.204918521625221,1,0
"47",1,46,0,0.204918521625221,1,0
"48",1,47,0,0.204918521625221,1,0
"49",1,48,0,0.204918521625221,1,0
"50",1,49,0,0.204918521625221,1,0
"51",2,0,1,0.813667262261347,0,0
"52",2,1,0,0.813667262261347,0,0
"53",2,2,0,0.813667262261347,0,0
"54",2,3,0,0.813667262261347,0,0
"55",2,4,0,0.813667262261347,0,0
"56",2,5,0,0.813667262261347,0,0
"57",2,6,0,0.813667262261347,0,0
"58",2,7,0,0.813667262261347,0,0
"59",2,8,0,0.813667262261347,0,0
"60",2,9,0,0.813667262261347,0,0
"61",2,10,0,0.813667262261347,0,0
"62",2,11,0,0.813667262261347,0,0
"63",2,12,0,0.813667262261347,0,0
"64",2,13,0,0.813667262261347,0,0
"65",2,14,0,0.813667262261347,0,0
"66",2,15,0,0.813667262261347,0,0
"67",2,16,0,0.813667262261347,0,0
"68",2,17,0,0.813667262261347,0,0
"69",2,18,0,0.813667262261347,0,0
"70",2,19,0,0.813667262261347,0,0
"71",2,20,0,0.813667262261347,0,0
"72",2,21,0,0.813667262261347,0,0
"73",2,22,0,0.813667262261347,0,0
"74",2,23,0,0.813667262261347,0,0
"75",2,24,0,0.813667262261347,0,0
"76",2,25,0,0.813667262261347,0,0
"77",2,26,0,0.813667262261347,0,0
"78",2,27,0,0.813667262261347,0,0
"79",2,28,0,0.813667262261347,0,0
"80",2,29,0,0.813667262261347,0,0
"81",2,30,0,0.813667262261347,0,0
"82",2,31,0,0.813667262261347,0,0
"83",2,32,0,0.813667262261347,0,0
"84",2,33,0,0.813667262261347,0,0
"85",2,34,1,1.61312358677226,0,0
"86",2,35,0,1.61312358677226,0,0
"87",2,36,0,1.61312358677226,0,0
"88",2,37,0,1.61312358677226,0,0
"89",2,38,0,1.61312358677226,0,0
"90",2,39,0,1.61312358677226,0,0
